Fecha;Temperatura_Media
2022-08-18;23,487915
2022-08-19;26,158752
2022-08-20;28,510834
2022-08-21;28,160835
2022-08-22;28,437918
2022-08-23;28,944168
2022-08-24;27,694166
2022-08-25;25,23375
2022-08-26;24,952501
2022-08-27;27,077501
2022-08-28;26,054586
2022-08-29;27,427498
2022-08-30;26,065002
2022-08-31;24,78375
2022-09-01;23,865
2022-09-02;22,773333
2022-09-03;22,27542
2022-09-04;21,904585
2022-09-05;22,0775
2022-09-06;21,060835
2022-09-07;22,506668
2022-09-08;24,652496
2022-09-09;26,160835
2022-09-10;27,660835
2022-09-11;25,90042
2022-09-12;21,73375
2022-09-13;18,579584
2022-09-14;18,606667
2022-09-15;20,079584
2022-09-16;20,935835
2022-09-17;22,154585
2022-09-18;20,617083
2022-09-19;21,862917
2022-09-20;21,271252
2022-09-21;21,7525
2022-09-22;21,998335
2022-09-23;20,323332
2022-09-24;16,535835
2022-09-25;16,510832
2022-09-26;16,879581
2022-09-27;17,667086
2022-09-28;14,625417
2022-09-29;13,935834
2022-09-30;16,03375
2022-10-01;18,77125
2022-10-02;19,592085
2022-10-03;21,885834
2022-10-04;20,937918
2022-10-05;20,714998
2022-10-06;19,004587
2022-10-07;19,081667
2022-10-08;18,910833
2022-10-09;16,931667
2022-10-10;16,637918
2022-10-11;16,783752
2022-10-12;17,271252
2022-10-13;18,081669
2022-10-14;18,89
2022-10-15;19,015
2022-10-16;18,746248
2022-10-17;20,356667
2022-10-18;19,762915
2022-10-19;16,933752
2022-10-20;15,037918
2022-10-21;15,512916
2022-10-22;15,5275
2022-10-23;14,300416
2022-10-24;16,3275
2022-10-25;16,231668
2022-10-26;17,84625
2022-10-27;17,587917
2022-10-28;17,269167
2022-10-29;15,015002
2022-10-30;13,0275
2022-10-31;13,869168
2022-11-01;13,456668
2022-11-02;13,594166
2022-11-03;11,350418
2022-11-04;9,181667
2022-11-05;10,317083
2022-11-06;10,969167
2022-11-07;12,167084
2022-11-08;12,567082
2022-11-09;10,585834
2022-11-10;9,969165
2022-11-11;12,306668
2022-11-12;12,187917
2022-11-13;11,650416
2022-11-14;13,467084
2022-11-15;12,32125
2022-11-16;14,087917
2022-11-17;10,183749
2022-11-18;7,6525006
2022-11-19;10,135833
2022-11-20;11,165
2022-11-21;7,710834
2022-11-22;13,083752
2022-11-23;12,30875
2022-11-24;10,802501
2022-11-25;6,8504167
2022-11-26;6,53375
2022-11-27;8,167083
2022-11-28;6,1462493
2022-11-29;6,90875
2022-11-30;6,994167
2022-12-01;5,098333
2022-12-02;4,9170833
2022-12-03;4,8525
2022-12-04;6,7608333
2022-12-05;9,433749
2022-12-06;8,25875
2022-12-07;9,442083
2022-12-08;9,052499
2022-12-09;8,69
2022-12-10;7,6629167
2022-12-11;11,681666
2022-12-12;13,756667
2022-12-13;11,737918
2022-12-14;9,150416
2022-12-15;7,4858346
2022-12-16;7,4254174
2022-12-17;7,002499
2022-12-18;5,3754163
2022-12-19;8,265
2022-12-20;10,427501
2022-12-21;11,47125
2022-12-22;10,675416
2022-12-23;9,1025
2022-12-24;9,125417
2022-12-25;8,735833
2022-12-26;7,344166
2022-12-27;6,9587502
2022-12-28;9,398333
2022-12-29;10,550416
2022-12-30;7,560833
2022-12-31;8,510833
2023-01-01;8,792083
2023-01-02;6,7941666
2023-01-03;4,8962502
2023-01-04;4,6733336
2023-01-05;3,3795836
2023-01-06;5,4254165
2023-01-07;11,046249
2023-01-08;9,787917
2023-01-09;5,6295834
2023-01-10;6,767084
2023-01-11;4,3837504
2023-01-12;4,900417
2023-01-13;3,842083
2023-01-14;6,000417
2023-01-15;6,242083
2023-01-16;7,817084
2023-01-17;3,3774996
2023-01-18;3,89
2023-01-19;9,160833
2023-01-20;5,9545836
2023-01-21;2,3087504
2023-01-22;1,9316667
2023-01-23;1,5066667
2023-01-24;2,265
2023-01-25;4,1754165
2023-01-26;2,8254168
2023-01-27;3,6004164
2023-01-28;1,4212502
2023-01-29;1,0483333
2023-01-30;1,715
2023-01-31;4,2879167
2023-02-01;4,7899995
2023-02-02;5,4566665
2023-02-03;5,6420827
